zip,compid,compname,comrate,indrate,resrate
24132,733,Appalachian Power Co.,52.6,36.59,58.52
24133,733,Appalachian Power Co.,52.6,36.59,58.52
24134,733,Appalachian Power Co.,52.6,36.59,58.52
24136,733,Appalachian Power Co.,52.6,36.59,58.52
24137,733,Appalachian Power Co.,52.6,36.59,58.52
24138,733,Appalachian Power Co.,52.6,36.59,58.52
24141,733,Appalachian Power Co.,52.6,36.59,58.52
24147,733,Appalachian Power Co.,52.6,36.59,58.52
24148,733,Appalachian Power Co.,52.6,36.59,58.52
24149,733,Appalachian Power Co.,52.6,36.59,58.52
24150,12796,Monongahela Power Co.,59.39,41.09,72.5
24150,733,Appalachian Power Co.,52.6,36.59,58.52
24151,733,Appalachian Power Co.,52.6,36.59,58.52
24153,733,Appalachian Power Co.,52.6,36.59,58.52
24161,733,Appalachian Power Co.,52.6,36.59,58.52
24162,733,Appalachian Power Co.,52.6,36.59,58.52
24165,733,Appalachian Power Co.,52.6,36.59,58.52
24167,733,Appalachian Power Co.,52.6,36.59,58.52
24168,733,Appalachian Power Co.,52.6,36.59,58.52
24171,733,Appalachian Power Co.,52.6,36.59,58.52
24174,733,Appalachian Power Co.,52.6,36.59,58.52
24175,733,Appalachian Power Co.,52.6,36.59,58.52
24176,733,Appalachian Power Co.,52.6,36.59,58.52
24179,733,Appalachian Power Co.,52.6,36.59,58.52
24184,733,Appalachian Power Co.,52.6,36.59,58.52
24185,733,Appalachian Power Co.,52.6,36.59,58.52
24201,733,Appalachian Power Co.,52.6,36.59,58.52
24202,733,Appalachian Power Co.,52.6,36.59,58.52
24202,10331,Kingsport Power Co.,56.59,37.27,53.13
24210,733,Appalachian Power Co.,52.6,36.59,58.52
24211,10331,Kingsport Power Co.,56.59,37.27,53.13
24211,733,Appalachian Power Co.,52.6,36.59,58.52
24216,10171,Kentucky Utilities Co.,57.83,45.19,60.29
24216,733,Appalachian Power Co.,52.6,36.59,58.52
24217,733,Appalachian Power Co.,52.6,36.59,58.52
24219,10171,Kentucky Utilities Co.,57.83,45.19,60.29
24219,733,Appalachian Power Co.,52.6,36.59,58.52
24220,733,Appalachian Power Co.,52.6,36.59,58.52
24224,10171,Kentucky Utilities Co.,57.83,45.19,60.29
24224,733,Appalachian Power Co.,52.6,36.59,58.52
24225,10171,Kentucky Utilities Co.,57.83,45.19,60.29
24225,733,Appalachian Power Co.,52.6,36.59,58.52
24226,733,Appalachian Power Co.,52.6,36.59,58.52
24228,733,Appalachian Power Co.,52.6,36.59,58.52
24228,22053,Kentucky Power Co.,67.59,42.47,64.98
24230,733,Appalachian Power Co.,52.6,36.59,58.52
24230,10171,Kentucky Utilities Co.,57.83,45.19,60.29
24236,733,Appalachian Power Co.,52.6,36.59,58.52
