STATE,LIBNAME,ADDRESS,CITY,ZIP,CNTY,SQ_FEET,HOURS,WKS_OPEN,LONGITUD,LATITUDE
VA,GROTTOES COMMUNITY LIBRARY,601 DOGWOOD AVENUE,GROTTOES,24441,ROCKINGHAM,700,-1,-1,-78.827085,38.26579
VA,WILLIAM KIBLER COMMUNITY LIBRARY,140 EAST MAIN STREET,STANLEY,22851,PAGE,-3,-3,-3,-78.501426,38.57505
VA,RUSSELL COUNTY PUBLIC LIBRARY,248 WEST MAIN STREET,LEBANON,24266,RUSSELL,10000,-1,-1,-82.084293,36.90073
VA,HONAKER COMMUNITY LIBRARY,10 LIBRARY DRIVE,HONAKER,24260,RUSSELL,1900,-1,-1,-81.987192,37.01755
VA,SALEM PUBLIC LIBRARY,28 E. MAIN ST.,SALEM,24153,SALEM,16000,-1,-1,-80.058289,37.2927
VA,SAMUELS PUBLIC LIBRARY,330 EAST CRISER ROAD,FRONT ROYAL,22630,WARREN,27500,-1,-1,-78.191103,38.906851
VA,SHENANDOAH COUNTY LIBRARY,514 STONEY CREEK BLVD.,EDINBURG,22824,SHENANDOAH,13000,-1,-1,-78.569018,38.82588
VA,STRASBURG COMMUNITY LIBRARY,195 WEST KING ST.,STRASBURG,22657,SHENANDOAH,4500,-1,-1,-78.363376,38.98967
VA,NEW MARKET AREA LIBRARY,9417 CONGRESS STREET,NEW MARKET,22824,SHENANDOAH,4000,-1,-1,-78.672435,38.646846
VA,BASYE-ORKENY SPRINGS LIBRARY,AIRPORT ROAD,BASYE,22810,SHENANDOAH,1500,-1,-1,-78.778408,38.811226
VA,FORT VALLEY LIBRARY & COMMUNITY CENTER,6190 TOWER ROAD,FORT VALLEY,22652,SHENANDOAH,2000,-1,-1,-78.431194,38.86208
VA,MT. JACKSON COMMUNITY LIBRARY,5901 MAIN STREET,MT. JACKSON,22842,SHENANDOAH,1500,-1,-1,-78.641666,38.747882
VA,MARION HEADQUARTERS,118 SOUTH SHEFFEY STREET,MARION,24354,SMYTH,24311,-1,-1,-81.521313,36.83197
VA,SALTVILLE PUBLIC LIBRARY,111 PALMER AVENUE,SALTVILLE,24370,SMYTH,1800,-1,-1,-81.764163,36.88022
VA,BLAND COUNTY LIBRARY,140 MAIN STREET,BLAND,24315,BLAND,5215,-1,-1,-81.119399,37.10618
VA,CHILHOWIE PUBLIC LIBRARY,807 CHILHOWIE STREET,CHILHOWIE,24319,SMYTH,1440,-1,-1,-81.676419,36.80375
VA,BUTLER MEMORIAL LIBRARY,515 MARSHALL STREET,CHASE CITY,23924,MECKLENBURG,5353,-1,-1,-78.45798,36.8015
VA,CLARKSVILLE AREA PUBLIC LIBRARY,914 VIRGINIA AVE.,CLARKSVILLE,23927,MECKLENBURG,3900,-1,-1,-78.563421,36.62105
VA,R.T. ARNOLD PUBLIC LIBRARY,110 EAST DANVILLE ST..,SOUTH HILL,23970,MECKLENBURG,15000,-1,-1,-78.129939,36.72432
VA,RIPBERGER PUBLIC LIBRARY,117 SOUTH BROAD ST.,KENBRIDGE,23944,LUNENBURG,8000,-1,-1,-78.126447,36.96085
VA,VICTORIA PUBLIC LIBRARY,1417 7TH STREET,VICTORIA,23974,LUNENBURG,5500,-1,-1,-78.225317,36.99479
