P0010001,state,zip code tabulation area
220,05,72085
10727,05,72086
2051,05,72087
2391,05,72088
616,05,72099
3378,05,72101
2873,05,72102
13078,05,72103
23354,05,72104
5376,05,72106
339,05,72107
73,05,72108
11498,05,72110
1362,05,72111
11467,05,72112
21273,05,72113
12658,05,72114
21431,05,72116
12684,05,72117
22592,05,72118
5,05,72119
31610,05,72120
2704,05,72121
927,05,72122
450,05,72123
905,05,72125
3674,05,72126
2149,05,72127
814,05,72128
1409,05,72129
560,05,72130
4631,05,72131
3242,05,72132
315,05,72134
2623,05,72135
1772,05,72136
2555,05,72137
216,05,72139
305,05,72140
625,05,72141
2499,05,72142
35169,05,72143
0,05,72149
12006,05,72150
429,05,72152
2572,05,72153
639,05,72156
1607,05,72157
10736,05,72160
111,05,72165
260,05,72166
1719,05,72167
1834,05,72168
203,05,72169
202,05,72170
9078,05,72173
354,05,72175
8141,05,72176
450,05,72179
62,05,72181
1024,05,72201
9978,05,72202
32505,05,72204
23000,05,72205
25624,05,72206
10344,05,72207
32376,05,72209
14258,05,72210
21288,05,72211
12705,05,72212
19890,05,72223
11462,05,72227
26069,05,72301
135,05,72311
23966,05,72315
1847,05,72320
154,05,72321
195,05,72322
1978,05,72324
43,05,72325
2267,05,72326
1732,05,72327
64,05,72328
80,05,72329
756,05,72330
3184,05,72331
104,05,72332
667,05,72333
20121,05,72335
43,05,72338
204,05,72339
90,05,72340
222,05,72341
5532,05,72342
697,05,72346
711,05,72347
2594,05,72348
1226,05,72350
835,05,72351
114,05,72353
2470,05,72354
2768,05,72355
1690,05,72358
430,05,72359
6466,05,72360
15831,05,72364
3146,05,72365
2543,05,72366
108,05,72367
1228,05,72368
8606,05,72370
1945,05,72372
1329,05,72373
876,05,72374
1977,05,72376
36,05,72377
50,05,72379
53,05,72383
953,05,72384
1777,05,72386
204,05,72389
9107,05,72390
481,05,72392
625,05,72394
1017,05,72395
13734,05,72396
53767,05,72401
23482,05,72404
498,05,72410
2294,05,72411
633,05,72412
598,05,72413
443,05,72414
1346,05,72415
5783,05,72416
3568,05,72417
1748,05,72419
554,05,72421
4979,05,72422
94,05,72424
446,05,72425
196,05,72426
174,05,72427
95,05,72428
427,05,72429
411,05,72430
401,05,72431
6462,05,72432
3067,05,72433
2108,05,72434
505,05,72435
942,05,72436
3272,05,72437
2574,05,72438
255,05,72440
94,05,72441
4886,05,72442
2986,05,72443
1821,05,72444
91,05,72445
1964,05,72447
213,05,72449
36033,05,72450
198,05,72453
5127,05,72454
12518,05,72455
585,05,72456
132,05,72457
755,05,72458
1329,05,72459
832,05,72460
3789,05,72461
408,05,72462
98,05,72464
1481,05,72466
303,05,72467
1124,05,72469
319,05,72470
1108,05,72471
9447,05,72472
2376,05,72473
7155,05,72476
390,05,72478
1489,05,72479
1241,05,72482
25099,05,72501
2234,05,72512
2856,05,72513
63,05,72515
487,05,72517
3150,05,72519
309,05,72520
4814,05,72521
405,05,72522
1091,05,72523
376,05,72524
154,05,72526
583,05,72527
65,05,72528
4726,05,72529
1987,05,72530
800,05,72531
1712,05,72532
416,05,72533
1320,05,72534
429,05,72536
805,05,72537
432,05,72538
253,05,72539
149,05,72540
3826,05,72542
12535,05,72543
636,05,72544
181,05,72546
985,05,72550
69,05,72553
2923,05,72554
182,05,72555
3375,05,72556
8754,05,72560
981,05,72561
2238,05,72562
546,05,72564
999,05,72565
624,05,72566
262,05,72567
1662,05,72568
468,05,72569
369,05,72571
228,05,72572
278,05,72573
3868,05,72576
700,05,72577
212,05,72578
1287,05,72579
1030,05,72581
1679,05,72583
568,05,72584
216,05,72585
134,05,72587
30163,05,72601
1696,05,72611
10441,05,72616
198,05,72617
1936,05,72619
648,05,72623
594,05,72624
1243,05,72626
803,05,72628
629,05,72629
197,05,72630
3709,05,72631
4449,05,72632
1833,05,72633
4670,05,72634
3624,05,72635
24,05,72636
7186,05,72638
683,05,72639
385,05,72640
2585,05,72641
1979,05,72642
2253,05,72644
1867,05,72645
716,05,72648
4362,05,72650
1206,05,72651
28560,05,72653
457,05,72655
1685,05,72658
524,05,72660
580,05,72661
2986,05,72662
361,05,72663
275,05,72666
521,05,72668
107,05,72669
99,05,72670
279,05,72672
1399,05,72675
525,05,72677
48,05,72679
807,05,72680
194,05,72682
211,05,72683
1365,05,72685
182,05,72686
6461,05,72687
39782,05,72701
28261,05,72703
21336,05,72704
40933,05,72712
11880,05,72714
15051,05,72715
1071,05,72717
1465,05,72718
8975,05,72719
391,05,72721
3138,05,72722
5658,05,72727
280,05,72729
7585,05,72730
4716,05,72732
7322,05,72734
6208,05,72736
2419,05,72738
473,05,72739
9543,05,72740
545,05,72742
5343,05,72744
11376,05,72745
152,05,72747
84,05,72749
6434,05,72751
293,05,72752
7936,05,72753
38455,05,72756
33487,05,72758
342,05,72760
21211,05,72761
35342,05,72762
50230,05,72764
1306,05,72768
1162,05,72769
953,05,72773
6121,05,72774
