zipcode,state,actual_med_income,predicted_med_income,residual,abs_residual
3037,33,89186,74586.77778,14599.22222,14599.22222
3038,33,64642,67119.72857,-2477.728571,2477.728571
3042,33,74609,67119.72857,7489.271429,7489.271429
3043,33,83393,67119.72857,16273.27143,16273.27143
3044,33,82375,67119.72857,15255.27143,15255.27143
3045,33,69387,67119.72857,2267.271429,2267.271429
3046,33,99464,67119.72857,32344.27143,32344.27143
3047,33,68750,59253.44216,9496.557836,9496.557836
3049,33,113125,74586.77778,38538.22222,38538.22222
3051,33,88600,74586.77778,14013.22222,14013.22222
3053,33,92053,74586.77778,17466.22222,17466.22222
3054,33,88555,74586.77778,13968.22222,13968.22222
3055,33,64162,50789.89723,13372.10277,13372.10277
3057,33,92396,74586.77778,17809.22222,17809.22222
3060,33,44646,41685.6773,2960.322702,2960.322702
3062,33,82826,67119.72857,15706.27143,15706.27143
3063,33,78191,67119.72857,11071.27143,11071.27143
3070,33,99474,67119.72857,32354.27143,32354.27143
3071,33,81088,59253.44216,21834.55784,21834.55784
3076,33,91301,72575.51374,18725.48626,18725.48626
3077,33,61488,67119.72857,-5631.728571,5631.728571
3079,33,76497,66747.21833,9749.781671,9749.781671
3084,33,55000,67119.72857,-12119.72857,12119.72857
3086,33,74750,67119.72857,7630.271429,7630.271429
3103,33,49518,41685.6773,7832.322702,7832.322702
3104,33,60468,41685.6773,18782.3227,18782.3227
3106,33,81640,59253.44216,22386.55784,22386.55784
3109,33,79229,67119.72857,12109.27143,12109.27143
3110,33,122517,74586.77778,47930.22222,47930.22222
3215,33,73472,56296.87424,17175.12576,17175.12576
3216,33,71466,48717.85045,22748.14955,22748.14955
3217,33,39390,47083.97236,-7693.972357,7693.972357
3220,33,61174,47083.97236,14090.02764,14090.02764
3221,33,62872,56296.87424,6575.125761,6575.125761
3223,33,50968,47083.97236,3884.027643,3884.027643
3224,33,86838,56296.87424,30541.12576,30541.12576
3226,33,69861,56296.87424,13564.12576,13564.12576
3229,33,81250,56296.87424,24953.12576,24953.12576
3230,33,51094,47083.97236,4010.027643,4010.027643
3231,33,68553,47083.97236,21469.02764,21469.02764
3233,33,105341,61723.9646,43617.0354,43617.0354
3235,33,41828,47083.97236,-5255.972357,5255.972357
3237,33,67969,56296.87424,11672.12576,11672.12576
3238,33,49125,47083.97236,2041.027643,2041.027643
3240,33,46490,47083.97236,-593.9723566,593.9723566
3241,33,55833,47083.97236,8749.027643,8749.027643
3242,33,64913,49992.02349,14920.97651,14920.97651
3243,33,56667,48717.85045,7949.149549,7949.149549
3245,33,62679,56296.87424,6382.125761,6382.125761
3246,33,47757,47083.97236,673.0276434,673.0276434
3249,33,63527,47083.97236,16443.02764,16443.02764
3253,33,57067,56296.87424,770.1257606,770.1257606
3255,33,70455,56296.87424,14158.12576,14158.12576
3257,33,72159,56296.87424,15862.12576,15862.12576
3259,33,59167,49992.02349,9174.97651,9174.97651
3260,33,73229,49992.02349,23236.97651,23236.97651
3261,33,68398,56296.87424,12101.12576,12101.12576
3264,33,42599,56296.87424,-13697.87424,13697.87424
3268,33,67100,48717.85045,18382.14955,18382.14955
3269,33,65000,56296.87424,8703.125761,8703.125761
3273,33,63333,49992.02349,13340.97651,13340.97651
3275,33,60470,56296.87424,4173.125761,4173.125761
3276,33,58449,47083.97236,11365.02764,11365.02764
3278,33,70385,56296.87424,14088.12576,14088.12576
3279,33,39261,47083.97236,-7822.972357,7822.972357
3281,33,86674,56296.87424,30377.12576,30377.12576
3282,33,44837,47083.97236,-2246.972357,2246.972357
3284,33,70938,56296.87424,14641.12576,14641.12576
3285,33,59191,47083.97236,12107.02764,12107.02764
3287,33,75833,56296.87424,19536.12576,19536.12576
3293,33,65833,47083.97236,18749.02764,18749.02764
3301,33,51848,41685.6773,10162.3227,10162.3227
3303,33,56983,48717.85045,8265.149549,8265.149549
3304,33,104905,67119.72857,37785.27143,37785.27143
3307,33,69679,59253.44216,10425.55784,10425.55784
3431,33,51744,41685.6773,10058.3227,10058.3227
3440,33,64224,56296.87424,7927.125761,7927.125761
3442,33,58750,49992.02349,8757.97651,8757.97651
3444,33,64911,56296.87424,8614.125761,8614.125761
3445,33,61875,49992.02349,11882.97651,11882.97651
3446,33,54213,56296.87424,-2083.874239,2083.874239
3447,33,49783,56296.87424,-6513.874239,6513.874239
3448,33,45417,49992.02349,-4575.02349,4575.02349
3449,33,78702,49992.02349,28709.97651,28709.97651
3450,33,53947,56296.87424,-2349.874239,2349.874239
3451,33,45406,47083.97236,-1677.972357,1677.972357
3452,33,64500,56296.87424,8203.125761,8203.125761
3455,33,62540,56296.87424,6243.125761,6243.125761
3456,33,67841,47083.97236,20757.02764,20757.02764
3457,33,66500,56296.87424,10203.12576,10203.12576
3458,33,66406,49992.02349,16413.97651,16413.97651
3461,33,61875,56296.87424,5578.125761,5578.125761
3464,33,65833,56296.87424,9536.125761,9536.125761
3465,33,49180,48717.85045,462.1495485,462.1495485
3467,33,75234,56296.87424,18937.12576,18937.12576
3470,33,44091,47083.97236,-2992.972357,2992.972357
3561,33,49214,47083.97236,2130.027643,2130.027643
3570,33,37856,43510.07883,-5654.07883,5654.07883
3575,33,14821,43510.07883,-28689.07883,28689.07883
3576,33,42100,43510.07883,-1410.07883,1410.07883
3579,33,31625,43510.07883,-11885.07883,11885.07883
3580,33,69688,47083.97236,22604.02764,22604.02764
3581,33,47861,47083.97236,777.0276434,777.0276434
3584,33,39219,47083.97236,-7864.972357,7864.972357
3585,33,48162,47083.97236,1078.027643,1078.027643
3586,33,78370,51484.22667,26885.77333,26885.77333
3588,33,54950,47083.97236,7866.027643,7866.027643
3590,33,28393,43510.07883,-15117.07883,15117.07883
3593,33,70694,47083.97236,23610.02764,23610.02764
3595,33,54375,47083.97236,7291.027643,7291.027643
3597,33,29167,43510.07883,-14343.07883,14343.07883
3598,33,46309,56296.87424,-9987.874239,9987.874239
3601,33,53750,48717.85045,5032.149549,5032.149549
3604,33,34231,49992.02349,-15761.02349,15761.02349
3607,33,41667,47083.97236,-5416.972357,5416.972357
3608,33,52976,56296.87424,-3320.874239,3320.874239
3609,33,54306,41685.6773,12620.3227,12620.3227
3740,33,48409,47083.97236,1325.027643,1325.027643
3741,33,62642,56296.87424,6345.125761,6345.125761
3743,33,42613,47083.97236,-4470.972357,4470.972357
3745,33,71875,56296.87424,15578.12576,15578.12576
3751,33,96250,49992.02349,46257.97651,46257.97651
3752,33,51563,49992.02349,1570.97651,1570.97651
3753,33,96638,56296.87424,40341.12576,40341.12576
3755,33,91610,61723.9646,29886.0354,29886.0354
3765,33,51250,47083.97236,4166.027643,4166.027643
3766,33,53112,41685.6773,11426.3227,11426.3227
3768,33,107692,51484.22667,56207.77333,56207.77333
3770,33,91250,49992.02349,41257.97651,41257.97651
3771,33,58173,47083.97236,11089.02764,11089.02764
3773,33,53955,47083.97236,6871.027643,6871.027643
3774,33,49335,47083.97236,2251.027643,2251.027643
3777,33,73984,47083.97236,26900.02764,26900.02764
3779,33,75833,47083.97236,28749.02764,28749.02764
3780,33,55208,47083.97236,8124.027643,8124.027643
3781,33,105272,56296.87424,48975.12576,48975.12576
3782,33,73971,56296.87424,17674.12576,17674.12576
3784,33,50643,41685.6773,8957.322702,8957.322702
3785,33,39033,47083.97236,-8050.972357,8050.972357
3801,33,65355,50789.89723,14565.10277,14565.10277
3809,33,63202,56296.87424,6905.125761,6905.125761
3810,33,63462,56296.87424,7165.125761,7165.125761
3811,33,95536,72575.51374,22960.48626,22960.48626
3812,33,35278,56296.87424,-21018.87424,21018.87424
3813,33,51712,49992.02349,1719.97651,1719.97651
3814,33,46000,56296.87424,-10296.87424,10296.87424
3817,33,41336,49992.02349,-8656.02349,8656.02349
3818,33,42033,41685.6773,347.3227017,347.3227017
3819,33,85208,74586.77778,10621.22222,10621.22222
3820,33,57401,41685.6773,15715.3227,15715.3227
3823,33,89444,74586.77778,14857.22222,14857.22222
3824,33,71250,74586.77778,-3336.777778,3336.777778
3825,33,81536,56296.87424,25239.12576,25239.12576
3826,33,86652,74586.77778,12065.22222,12065.22222
3827,33,89333,74586.77778,14746.22222,14746.22222
3830,33,40643,49992.02349,-9349.02349,9349.02349
3833,33,81413,74586.77778,6826.222222,6826.222222
3835,33,51382,56296.87424,-4914.874239,4914.874239
3837,33,61150,56296.87424,4853.125761,4853.125761
3838,33,54926,56296.87424,-1370.874239,1370.874239
3839,33,55938,56296.87424,-358.8742394,358.8742394
3840,33,83288,74586.77778,8701.222222,8701.222222
