zip,com_elecrate,ind_elecrate,res_elecrate
3837,13.675,12.888,15.142
3839,13.675,12.888,15.142
3840,13.675,12.888,15.142
3841,13.675,12.888,15.142
3842,13.675,12.888,15.142
3845,13.675,12.888,15.142
3848,13.675,12.888,15.142
3849,13.675,12.888,15.142
3851,13.319,6.444,14.8
3852,13.319,6.444,14.8
3854,13.675,12.888,15.142
3855,13.675,12.888,15.142
3856,13.675,12.888,15.142
3857,13.675,12.888,15.142
3858,16.029,15.957,15.432
3860,13.675,12.888,15.142
3861,13.675,12.888,15.142
3862,13.675,12.888,15.142
3864,13.675,12.888,15.142
3865,14.852,14.4225,15.287
3867,13.675,12.888,15.142
3868,13.319,6.444,14.8
3869,13.319,6.444,14.8
3870,13.675,12.888,15.142
3871,13.675,12.888,15.142
3872,13.319,6.444,14.8
3873,13.675,12.888,15.142
3874,16.029,15.957,15.432
3875,13.675,12.888,15.142
3878,13.319,6.444,14.8
3882,13.319,6.444,14.8
3883,13.675,12.888,15.142
3884,13.675,12.888,15.142
3885,13.675,12.888,15.142
3886,13.675,12.888,15.142
3887,13.675,12.888,15.142
3890,13.675,12.888,15.142
3894,13.675,12.888,15.142
3897,13.675,12.888,15.142
3901,13.319,6.444,14.8
3902,12.963,0,14.458
3903,12.963,0,14.458
3904,12.963,0,14.458
3905,12.963,0,14.458
3906,12.963,0,14.458
3907,12.963,0,14.458
3908,12.963,0,14.458
3909,12.963,0,14.458
4001,13.319,6.444,14.8
4002,12.963,0,14.458
4003,12.963,0,14.458
4005,12.963,0,14.458
4008,12.963,0,14.458
4009,12.963,0,14.458
4010,12.963,0,14.458
4011,12.963,0,14.458
4015,12.963,0,14.458
4020,12.963,0,14.458
4021,12.963,0,14.458
4022,12.963,0,14.458
4024,12.963,0,14.458
4027,13.319,6.444,14.8
4029,12.963,0,14.458
4030,12.963,0,14.458
4032,12.963,0,14.458
4037,12.963,0,14.458
4038,12.963,0,14.458
4039,12.963,0,14.458
4040,12.963,0,14.458
4041,12.963,0,14.458
4042,12.963,0,14.458
4043,12.963,0,14.458
4046,12.963,0,14.458
4047,12.963,0,14.458
4048,12.963,0,14.458
4049,12.963,0,14.458
4051,12.963,0,14.458
4054,12.963,0,14.458
4055,12.963,0,14.458
4056,12.963,0,14.458
4061,12.963,0,14.458
4062,12.963,0,14.458
4063,12.963,0,14.458
4064,12.963,0,14.458
4066,12.963,0,14.458
4068,12.963,0,14.458
4069,12.963,0,14.458
4071,12.963,0,14.458
4072,12.963,0,14.458
4073,12.963,0,14.458
4074,12.963,0,14.458
4076,12.963,0,14.458
4079,12.963,0,14.458
4083,12.963,0,14.458
4084,12.963,0,14.458
4085,12.963,0,14.458
4086,12.963,0,14.458
4087,12.963,0,14.458
4088,12.963,0,14.458
4090,12.963,0,14.458
4091,12.963,0,14.458
4092,12.963,0,14.458
4093,12.963,0,14.458
4095,12.963,0,14.458
4096,12.963,0,14.458
4097,12.963,0,14.458
4101,12.963,0,14.458
4102,12.963,0,14.458
4103,12.963,0,14.458
4105,12.963,0,14.458
4106,12.963,0,14.458
4107,12.963,0,14.458
4108,12.963,0,14.458
4110,12.963,0,14.458
4210,12.963,0,14.458
4216,12.963,0,14.458
4217,12.963,0,14.458
4219,12.963,0,14.458
4220,12.963,0,14.458
4221,12.963,0,14.458
4222,12.963,0,14.458
4224,12.963,0,14.458
4226,12.963,0,14.458
4231,12.963,0,14.458
4236,12.963,0,14.458
4237,12.963,0,14.458
4238,12.963,0,14.458
4239,12.963,0,14.458
4240,12.963,0,14.458
4250,12.963,0,14.458
4252,12.963,0,14.458
4253,12.963,0,14.458
4254,12.963,0,14.458
4255,12.963,0,14.458
